"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"20026",22179,1,0,0,0,0,0,27,1,1,29,29,0,0,0,0,0,1,0,29,0,841,1,1,1
"20027",18869,1,0,0,0,2,0,30,1,1,46,46,0,0,0,0,0,0,1,46,0,2116,1,1,1
"20028",20888,1,1,1,0,0,0,8,1,1,30,30,0,1,1,0,0,1,0,30,0,900,1,1,1
"20029",21173,2,0,1,0,2,1,25,1,1,23,49,0,0,0,0,0,0,1,23,0,529,1,0,0
"20030",15833,2,1,0,0,2,1,7,1,0,47,25,0,1,1,0,0,0,0,47,0,2209,1,0,0
"20031",10852,2,1,1,0,1,0,19,1,1,56,62,0,1,1,0,0,1,0,56,0,3136,1,1,1
"20032",15708,1,1,1,0,2,1,12,1,1,81,81,0,1,1,0,1,1,0,81,0,6561,1,0,0
"20033",5840,1,1,1,0,0,0,11,1,1,63,63,1,1,1,0,0,1,0,63,0,3969,1,0,1
"20034",18134,1,0,0,0,0,0,6,1,1,47,47,0,0,0,0,0,1,0,47,0,2209,1,1,1
"20035",15719,2,0,0,0,2,0,12,0,1,32,29,0,0,0,0,0,1,0,32,0,1024,0,1,1
"20036",11660,1,0,0,0,1,0,8,0,0,32,32,0,0,0,0,0,1,0,32,0,1024,0,1,1
"20037",11633,1,0,0,0,0,0,8,1,1,58,58,0,0,0,0,0,1,0,58,0,3364,1,1,1
"20038",11808,1,1,1,0,0,0,5,1,1,999,999,0,1,1,0,0,1,0,0,1,0,1,1,1
"20039",15687,1,1,1,0,2,1,29,1,1,79,79,0,1,1,0,1,1,0,79,0,6241,1,0,0
"20040",22834,2,1,1,0,1,0,18,1,0,45,73,0,1,1,0,0,1,0,45,0,2025,1,1,1
"20041",12836,1,1,1,0,3,0,13,1,1,27,27,0,1,1,0,0,1,0,27,0,729,1,1,1
"20042",5923,1,1,1,0,0,0,11,1,1,82,82,0,1,1,0,0,0,1,82,0,6724,1,1,1
"20043",17502,2,1,1,0,2,0,30,1,1,49,75,0,1,1,0,0,1,0,49,0,2401,1,1,1
"20044",19359,1,99,99,0,3,1,29,1,1,42,42,0,99,0,0,0,0,0,42,0,1764,1,0,0
"20045",4337,2,0,0,0,2,0,23,0,0,19,19,0,0,0,0,0,0,0,19,0,361,0,1,1
"20046",607,1,0,0,0,1,0,9,1,1,33,33,0,0,0,0,0,0,1,33,0,1089,1,1,1
"20047",2382,1,0,0,0,0,0,5,1,1,62,62,0,0,0,0,0,0,1,62,0,3844,1,1,1
"20048",483,2,0,0,0,1,1,14,1,1,25,50,0,0,0,0,0,0,1,25,0,625,1,0,0
